customer_id,full_name,state,preferred_channel,lifetime_value,order_count,avg_satisfaction_score,total_support_tickets,customer_segment,satisfaction_level
5634f1e2-8892-41b4-87f0-2533a269bf74,Angel Flynn,Pennsylvania,online,12774.1595,12,,0,High Value,At Risk
b1baa15e-9859-41fe-9832-5d2af7c20b81,Benjamin Landry,Georgia,online,169.68,1,3.0,1,Low Value,Neutral
5ff3b719-34ea-4f22-ab48-c4ffdc0ac4e6,Lori Berger,Pennsylvania,both,15803.948500000002,12,,0,High Value,At Risk
291a7e1f-97c0-4551-9099-822be36cd13e,Nicole Morgan,California,online,2922.5860000000002,5,,1,High Value,At Risk
eeac6386-76dc-4c35-82cb-f24fe791d708,Allison Henson,Massachusetts,online,4622.59,7,,0,High Value,At Risk
dc3cb8d4-d6da-43a7-a7b0-48a9585c5f7e,Roy Gilbert,Virginia,online,0.0,0,,0,Low Value,At Risk
185f50b0-5496-453e-89a0-1c40a8e53b17,Rachel Sanchez,Florida,online,8215.277,6,3.0,2,High Value,Neutral
b7e1654f-755d-4bc9-9832-c1f46212bbaa,Christopher Williams,Texas,in-store,755.59,3,,0,Medium Value,At Risk
d88de982-c271-48cc-845a-f11cac413f0b,Michelle Wallace,Texas,both,11650.798999999999,14,3.0,1,High Value,Neutral
d3f9a5b1-bef2-4d3a-a8b8-52e3fc395afb,James Blair,Pennsylvania,online,3824.5400000000004,5,,0,High Value,At Risk
b789d3ad-28e9-41ab-aafd-00111af51920,Ashley Romero,North Carolina,in-store,5177.070000000001,2,4.0,3,High Value,Satisfied
aeba2e34-3bc5-496c-8520-a8bad74b62d2,Kylie Morales,Ohio,both,11623.922,19,,0,High Value,At Risk
4f17578d-c67e-4ca2-aa80-6a27f5ec2411,Lisa Perry,Washington,online,4631.500255944254,8,,0,High Value,At Risk
6ee23d8d-21b4-4d0a-acad-eacd25fca760,James Harmon,Pennsylvania,online,689.12,3,,0,Medium Value,At Risk
0334c8a8-32db-4e55-9088-e2e1c3ead6c6,Connie Maxwell,New York,in-store,0.0,0,,0,Low Value,At Risk
a7754bde-6a46-49ea-8a1a-94c46fbf786a,Chris Jones,Texas,online,6319.709999999999,6,,0,High Value,At Risk
e8115966-a286-4e9a-994b-9512e4ec6e3c,Susan Armstrong,Florida,online,1170.598,4,,0,High Value,At Risk
3d2b8eab-07dd-4900-9389-f468deb10694,Andrea Davis,Illinois,online,8024.434499999999,9,,0,High Value,At Risk
cc6c7f77-9daf-4259-aa40-d2467a6b7084,Jack White,Texas,both,1170.3,1,4.0,1,High Value,Satisfied
14c69fe5-d344-440a-877a-8c17c3ba847c,Jackson Ball,Florida,online,6670.058500000001,10,,0,High Value,At Risk
a992a917-e849-4ffc-9848-fcf06233b135,Phillip Nelson,North Carolina,online,18354.8,17,,0,High Value,At Risk
d5e0c0b0-ec1a-4eb2-bdc0-eb82a517d128,Thomas Kennedy,New York,online,2193.1905,6,,0,High Value,At Risk
e9eb9097-60d5-45ce-a5fd-9d2a25f6ed3e,Eddie Smith,Michigan,both,0.0,0,,0,Low Value,At Risk
867b37fa-2337-419f-a8f4-b3231eb98785,Brandi Bell,New Jersey,in-store,9400.749558508825,3,,0,High Value,At Risk
5e4aaf11-21fd-4847-94eb-00d778eb4cf5,Howard Norman,North Carolina,both,1451.694,3,,0,High Value,At Risk
e09c619b-f8b0-4f81-9963-a0c5f394ec44,Melissa Bell,New York,online,711.089,6,,0,Medium Value,At Risk
0e5ce99f-c6f4-4db6-b32d-6be498335d86,Jennifer Banks,Georgia,both,5432.49,9,,0,High Value,At Risk
1f29eb4e-653b-4fc6-b09b-7731d991951a,Zachary Cochran,Texas,online,0.0,0,,0,Low Value,At Risk
48072bb1-4d1d-4473-954b-81982b388e73,Kristen Wood,Texas,online,1601.9499999999998,3,5.0,1,High Value,Satisfied
5ca706a8-fdaa-4203-a1cd-8d5855f715e9,Kevin Martin,California,both,15561.437999999998,5,3.67,3,High Value,Neutral
7e43dece-6864-40eb-ae54-0345dc71cb98,Stephen Gardner,New Jersey,in-store,786.64,2,,0,Medium Value,At Risk
e9bc115f-9f34-459e-9190-ea177aa4681a,Joanna Thomas,Washington,online,5157.936,13,,0,High Value,At Risk
53182df4-1874-45e5-bbb2-3b397df2e5d0,,Texas,in-store,13972.457999999999,12,5.0,2,High Value,Satisfied
6638d90a-5b78-4c9b-9fcb-befdfdaf8d02,Betty Davis,New York,in-store,7152.3485,5,,0,High Value,At Risk
0b4d8621-9d37-427c-8b86-54f2b398f2c9,Jordan Hicks,Michigan,both,9986.031500000001,17,4.0,1,High Value,Satisfied
214cfd6d-e5ac-4db4-9e1f-cd692e2ccba6,Albert Edwards,New York,online,13618.529999999999,3,,0,High Value,At Risk
7c6f9d72-9689-42e5-b081-f7af88dc60f1,Diana Evans,New York,online,7862.804500000001,16,,0,High Value,At Risk
54b34b95-7b8d-4b70-a8cc-4ba962d001cc,Chad Gilbert,Florida,in-store,6776.657499999999,10,,0,High Value,At Risk
838aa59a-3e49-4bf0-9fdb-52c98b892d8e,Susan Thompson,California,both,3088.952,5,5.0,1,High Value,Satisfied
c763319e-a1b7-49e4-a3f9-63c8a1df6295,Michelle Smith,Florida,online,3556.4320000000002,3,1.0,1,High Value,At Risk
7ddab3bd-a49b-4122-9356-5bafa60fc685,Elizabeth Sharp,Arizona,online,487.81,2,,0,Medium Value,At Risk
30012d88-2488-41c8-ba2e-7833551da3e5,Philip Becker,Texas,in-store,196.15,1,5.0,1,Low Value,Satisfied
175b576f-ab39-4cd7-8253-57a811d22358,Michael Parker,Florida,in-store,6753.8955,14,,0,High Value,At Risk
dde8004d-4a47-407f-bccb-0c53ef4deb72,Sheila Knox,Florida,online,2550.47,3,,0,High Value,At Risk
9fd12c16-9673-46b1-81f5-fc225c77fe51,Hannah Hill,California,online,5529.393,9,,0,High Value,At Risk
e3fd3686-61bb-48a4-9ab8-3bcde2250a42,Robyn Dennis,California,both,0.0,0,,0,Low Value,At Risk
947fec07-da8e-4f40-a7a6-b167c4977332,Elizabeth Zimmerman,Texas,online,31270.77325598213,21,3.5,2,High Value,Neutral
98d41fcd-f138-4d22-bc16-e9422c5d1d06,Sheila Cook,Virginia,both,163.0045,1,,0,Low Value,At Risk
ce95609a-63bc-4972-9465-29cb190f0df0,Jacqueline Gutierrez,California,unknown,5684.28,4,,1,High Value,At Risk
72549804-eee4-4a6d-b3a4-c04061550de7,Clinton Preston,New York,online,10123.69,8,,0,High Value,At Risk
a1404ecc-4fc4-4218-9f07-ed77cddf3c03,Joseph Jenkins,Michigan,online,11929.424,13,,0,High Value,At Risk
9a5a78c1-f720-4b0b-a017-070b5078837d,Anthony Smith,Florida,both,2557.67,5,4.0,1,High Value,Satisfied
e049f5d1-bb8e-43fe-926a-06ed322361b1,Kristy Knight,Texas,online,1262.0829999999999,4,,0,High Value,At Risk
77df43a2-0830-48c8-aa95-beaf3a933fa0,Brady Montgomery,Washington,in-store,1921.618,2,2.0,1,High Value,Neutral
ace3d1c0-d5fc-40b2-8a4c-93ccb5001366,Heather Davis,Illinois,online,2478.846,3,,0,High Value,At Risk
bb6781fb-6197-4287-841a-fe3d5e1007bc,,,online,7618.8994999999995,7,,0,High Value,At Risk
424b2dc3-0912-4e02-8588-b0e132334c56,Douglas Hartman,Pennsylvania,both,26098.28,17,4.0,2,High Value,Satisfied
88826d13-4a44-4427-85e3-21839c66a180,Jerry Harper,New Jersey,both,4859.561000000001,7,,0,High Value,At Risk
b8fd4b01-a7d4-45af-befb-c9f5dca6a958,James Ford,California,online,1543.9545,4,,0,High Value,At Risk
2bb18b90-23ae-4be7-86ac-0c8953a7b42e,Andrea Williams,Texas,online,3372.2099999999996,4,,0,High Value,At Risk
e1d30d90-f6e5-439d-9bec-2b2287663015,Michele Harris,Georgia,online,4504.276499999999,7,,0,High Value,At Risk
1447c94e-ed2a-4b45-ba05-ced3d3cfcfee,Michael Edwards,New York,online,1565.1,2,,1,High Value,At Risk
085ffa21-6074-4e96-805a-78c32a0c49ec,Sharon Crane,California,both,23267.799999999996,11,3.0,2,High Value,Neutral
60a0218a-a6d1-465c-875e-2c0402e18ec1,Patricia Morrow,Pennsylvania,in-store,10712.2055,9,2.0,1,High Value,Neutral
849a8653-f869-4056-abac-3ec07aa5b48f,Robert Trujillo,California,in-store,1592.093,4,,0,High Value,At Risk
5d47a88e-6229-402f-a920-0fb7194c722b,Laura Adams,Ohio,online,8906.401,8,3.0,1,High Value,Neutral
4ee5d856-5b47-461c-9356-104dc45ff2d9,Erica Campbell,Illinois,online,7491.9259999999995,12,,0,High Value,At Risk
d3e2fe60-68bc-47b5-b704-72c4a0b3d5a7,Anthony Garrett,North Carolina,both,3441.4295,9,,0,High Value,At Risk
f3a020be-2e98-468d-affd-2b0388a78026,Holly Evans,Virginia,online,16711.11115369507,12,2.0,1,High Value,Neutral
ccea51cc-3733-4d90-8058-e8300231e4db,Richard Wright,Virginia,both,8496.948999999999,10,5.0,1,High Value,Satisfied
75b06ec5-d6a5-4a69-8cbc-9aceb52f5d95,Holly Vega,New Jersey,online,10265.416499999998,11,,0,High Value,At Risk
a996b5bf-5e05-4408-9a4e-6e546ad6e860,,Florida,online,3516.7850000000003,10,,0,High Value,At Risk
46500270-37db-4999-8820-cc9bfd3f32b5,Paul Marks,Florida,online,2325.573,4,,0,High Value,At Risk
50c6e50f-7f77-4c91-88f6-89b6658693c8,Jack Mora,California,online,3659.9460000000004,7,,1,High Value,At Risk
7c15eaeb-bffd-4f97-b4da-19601d48aaaf,Julie Vargas,New York,online,8577.194,8,,0,High Value,At Risk
9d975045-72ce-4f87-af01-ec01223f8331,Stephanie Meyer,Virginia,both,7440.789999999999,9,3.0,2,High Value,Neutral
cb035960-9c0a-4e49-83b3-48d1fa55b763,Christopher Martin,North Carolina,online,990.9014999999999,2,,1,Medium Value,At Risk
4deb2f9b-ffb0-415a-b620-cbd8d467ebd1,Tristan Bond,Florida,both,10653.191,14,,0,High Value,At Risk
1357f6c0-b344-4de1-927e-8d29271db5dc,Steven Ramos,California,online,0.0,0,3.0,1,Low Value,Neutral
5a83ec13-88d8-46cd-a059-fee09cceabbe,Jennifer Pierce,Illinois,online,7577.923,9,,0,High Value,At Risk
1bf60267-eb3b-4acd-8123-b55d20f3ae7b,Alyssa Cochran,Pennsylvania,in-store,3470.0660000000003,3,3.0,2,High Value,Neutral
a53d12a9-3607-4c1c-9043-967c8ba87c3c,Russell Cochran,New Jersey,online,145.01,1,,0,Low Value,At Risk
012bb8ba-52a2-40de-9f4c-a1c76b48667d,Laurie Rogers,California,online,5373.325999999999,9,,0,High Value,At Risk
bb80976b-59b7-4f25-a65f-78db89204afe,Timothy Taylor,Pennsylvania,online,552.561,3,1.0,1,Medium Value,At Risk
fbbf259a-7b4d-487f-aa77-1d1a2d4a5234,Jocelyn Lloyd,Texas,in-store,107.02,1,1.0,1,Low Value,At Risk
e320e880-8012-4eaa-a8ad-d0a2e319a9ef,Jennifer Spencer,Pennsylvania,both,9729.292000000001,13,,0,High Value,At Risk
483977d6-59a3-4d37-acfe-4ae889bad936,Katherine Guerrero,Florida,both,7212.190500000001,12,5.0,1,High Value,Satisfied
1f18dbd6-e628-45fb-8c35-76549b175d7e,Juan Randall,Pennsylvania,both,6075.200000000001,3,3.0,2,High Value,Neutral
33c691c0-d861-4b17-909e-291071c80851,Roy Scott,Texas,in-store,19370.070000000003,5,3.5,2,High Value,Neutral
9a6bef15-b82d-47b7-a305-0b170ad5444f,Deborah Pena,Washington,online,3496.622,4,1.0,1,High Value,At Risk
b47bb92d-cd35-46e4-9d0f-d2e68865981d,Shannon Cohen,Virginia,online,4251.355,3,,1,High Value,At Risk
8669e1e7-db66-4575-a349-a020e441766f,Jesus Hull,Georgia,both,3759.702,5,,0,High Value,At Risk
28006ded-6714-4308-8a34-158ec21d425e,Megan Adams,Florida,online,0.0,0,,0,Low Value,At Risk
1fcad74e-2c52-45f0-af8e-125ec1324a73,Adam Key,Texas,online,7204.6905,12,,0,High Value,At Risk
605480c4-edec-4a42-adc7-4fef51f018e3,Grace Reeves,California,both,0.0,0,,0,Low Value,At Risk
f949b2e6-1601-48af-8002-7099031b0d83,Sean Silva,Illinois,online,8168.3730000000005,11,4.0,1,High Value,Satisfied
f81dc7b0-ace5-4957-bb9c-4441cd928c20,Gary Hatfield,California,both,1576.02,4,2.0,1,High Value,Neutral
e974841d-6980-4e25-82a4-bfb80e77422f,Lori Wright,New York,online,8677.221999999998,10,3.0,2,High Value,Neutral
4276d3c7-a160-46f5-8ce6-935108c2f368,Crystal Acosta,Florida,online,2382.5899999999997,3,,0,High Value,At Risk
dbc53761-4aba-42ec-9f34-2b16807ad360,Mia Harris,Arizona,online,2741.0969999999998,8,,0,High Value,At Risk
ef1988ba-017a-4ce5-8ab5-69fe2998dbc0,Joshua Lozano,Washington,online,2484.9,4,,0,High Value,At Risk
840d3bc2-d2c8-4a3e-8e1c-f98f3aaa2784,Jeffery Wilson,Pennsylvania,both,7782.888,8,,0,High Value,At Risk
d3b9f9f6-6986-4bb5-8c43-ef56c876ec1c,Michael Brown,Massachusetts,in-store,0.0,0,,0,Low Value,At Risk
f2b03d41-af3d-4b2d-a88b-b09972476d48,Matthew Wright,Massachusetts,online,0.0,0,,0,Low Value,At Risk
3010fe3e-f791-47d4-add2-1da35e890603,Jeremy Wilson,Pennsylvania,online,12431.416500000001,10,,0,High Value,At Risk
cfd044fa-b5cb-4286-b97f-197990ed8317,Mike Wilson,California,online,91.0,1,,0,Low Value,At Risk
5f92eead-8dd3-4b7f-a64f-1c5325616853,Patricia Hayes,Pennsylvania,both,7334.348999999998,12,4.0,1,High Value,Satisfied
455ff171-e9a6-424b-8d2d-78a845c63be5,Charles Morrison,Texas,online,0.0,0,,0,Low Value,At Risk
b2909ef3-ec31-4785-b0b6-a6c7727fdb2a,Alexander Thomas,Texas,both,12773.618000000002,6,2.5,2,High Value,Neutral
b6d52ab5-ff25-4c09-9efb-e8edba46a027,Tina Daugherty,Massachusetts,online,2819.219,7,,0,High Value,At Risk
58e3a667-9b3f-4da0-baea-ec65a19347e3,Lauren Scott,Florida,online,4852.629500000001,12,5.0,1,High Value,Satisfied
5dc3a591-eea8-4ccb-9a8b-6a8dd91b3971,Anna Walker,Illinois,unknown,7258.674500000002,11,,0,High Value,At Risk
876bc039-bbb7-4875-86b0-dbea517706c1,John Phillips,Texas,both,150.075,1,2.0,1,Low Value,Neutral
b1cbc9f2-9e73-4acf-944e-24585ffcd3a1,Robert Grant,Massachusetts,online,36806.825999999994,6,2.5,3,High Value,Neutral
95555bc3-0004-4f6b-97ae-559307e06847,John Ferguson,New York,in-store,5086.91,8,,0,High Value,At Risk
80086e64-b953-4742-977c-b59140e176a4,Daniel Davenport,Georgia,both,0.0,0,3.0,1,Low Value,Neutral
290385d8-5e51-46ba-9d25-fdfbeba1d6b5,Emily Hayes,Michigan,both,17348.572640626146,8,,0,High Value,At Risk
f43856ea-7faf-44d9-b196-7cf57aaf4a69,Katelyn Rodriguez,Michigan,online,8541.93,12,,0,High Value,At Risk
c64b3cc0-8f16-46a7-bcc5-fe2f60e44c19,James Vance,Texas,online,5870.085499999999,4,4.0,1,High Value,Satisfied
76c56a13-318b-418d-982f-28fe3126d2d0,Jacob Williams,Arizona,online,5550.1175,8,,0,High Value,At Risk
ee3eb814-d007-49c7-98e2-736b0064edc1,Jeremiah Hall,Pennsylvania,online,1589.423,5,2.0,1,High Value,Neutral
29b7a41a-9a55-4b30-890f-0849d28704bc,Mark Williams,Texas,online,10200.236,13,1.0,1,High Value,At Risk
5e9b5565-d08a-4f1b-8522-41f02c535772,Thomas Carlson,Michigan,both,3983.779,7,,1,High Value,At Risk
c4f73a3e-1230-4adb-a018-02745e28d2a4,Jacob Williams,Florida,online,3641.84,4,,0,High Value,At Risk
0b58f20c-2c25-4698-9f37-c0fe2028c7bb,Brittney Pearson,California,online,8464.224,4,2.5,3,High Value,Neutral
9c875033-8fb3-48d8-bbea-c5a11a686343,Rebecca Mendez,New York,online,265.27,2,,0,Low Value,At Risk
1ed13513-970c-4d9c-89fd-3811baefe015,Mark Gonzales,Washington,both,2999.6000000000004,3,,0,High Value,At Risk
4058930b-1ece-43cf-a463-e0ebc063f8e8,Krista Barber,New York,in-store,11962.212000000003,6,2.5,2,High Value,Neutral
2742834c-b01d-4dd2-9eae-aa40cee58445,Timothy Scott,Arizona,online,10870.0345,13,,0,High Value,At Risk
ab5a3a28-2465-493a-a57f-e4fb2b759ece,Kathryn Gonzalez,Texas,online,2598.5324999999993,5,5.0,1,High Value,Satisfied
ea11020a-5111-4b60-9c26-42dbe1be932f,Jennifer Christensen,Florida,both,6272.700500000001,6,2.0,1,High Value,Neutral
77852d33-2904-4dc1-aa9c-6087382c0e8e,John Austin,New York,both,4108.817,5,,0,High Value,At Risk
55c5c37f-cb2b-4352-83fc-f7659efa93ac,Brandy Barry,California,online,13141.797518972106,15,,0,High Value,At Risk
21b42241-8b4e-4a57-b324-2e68c789326b,Sharon Mccarty,California,both,4512.3785,4,,0,High Value,At Risk
9f6becce-e372-4824-bf6a-db09c1779792,Emily Carter,California,online,9870.334,8,3.5,2,High Value,Neutral
8a4ddb5c-bcb6-485c-b386-fd7a7145cabf,Brian Montgomery,Washington,online,6102.352999999999,3,,1,High Value,At Risk
4dc138b9-ea9b-4ee1-9805-4d75c34416e4,Terry Olson,New York,online,790.8109999999999,3,4.0,1,Medium Value,Satisfied
7b189680-0496-4384-bd94-8152cea9a0cd,Colin Khan,Texas,both,6381.902999999999,11,,0,High Value,At Risk
e7a85be4-0aef-4e19-8005-e94cd70fca9c,Chelsea Smith,North Carolina,online,0.0,0,,1,Low Value,At Risk
ab339b9f-e14a-490b-8e34-81023383f19b,Anthony Rowe,Illinois,online,6724.5535,13,3.0,1,High Value,Neutral
fb49f49d-b31b-47e7-bcbd-cd3415ca7af4,Karen Evans,Illinois,online,29170.49300000001,19,3.5,2,High Value,Neutral
12ab0737-a775-4a41-8870-81ce6e8eea1b,Melissa Morgan,Arizona,online,6143.058,7,,0,High Value,At Risk
e29d4ad9-be16-4a60-8adb-236be5a5e432,Lacey Stephens,Texas,online,4769.6315,5,3.0,1,High Value,Neutral
d8d480af-cb8e-48fb-973c-850dc53c225f,Louis Morris,Illinois,both,3215.9325,4,,0,High Value,At Risk
2f808c71-6fbc-4eea-9868-393c686c03b9,Tanya Collier,California,in-store,5267.552,6,,0,High Value,At Risk
9db13e3a-548e-4a67-a576-785b6059c8fb,Paul Miranda,New Jersey,in-store,1361.8200000000002,2,1.0,1,High Value,At Risk
b9c7e329-91a9-4e8a-a87f-23f1ccb8db51,Jermaine Sanders,Texas,both,6073.797500000001,13,5.0,1,High Value,Satisfied
a7e31543-b317-42af-8fcf-73c9c00253cf,Henry Taylor,North Carolina,online,1562.02,3,,0,High Value,At Risk
a4825fa2-5474-4fef-995c-774c8b43fc1a,Timothy Martinez,New York,both,2276.23,4,1.0,1,High Value,At Risk
808fef69-43d3-4fd0-ae6b-e5d7574d13bd,Brandi Miller,Texas,online,3140.43,3,,0,High Value,At Risk
0c38a461-5318-4825-b716-e110dfd67e64,Michael Henderson,New York,in-store,1899.937,2,,0,High Value,At Risk
473725d5-2ba2-4ecb-817f-b74d1049367f,Gwendolyn Brock,Washington,online,2202.66,3,,0,High Value,At Risk
1b730fa3-64a9-4175-9279-37523065ce87,Sharon Smith,Virginia,both,6538.134,8,,0,High Value,At Risk
1c78cdb8-7be4-402f-b655-2342b84c4dd2,Mario Young,Florida,online,2457.165,3,3.0,1,High Value,Neutral
b41a63b7-a874-4be9-af1c-39899938e5f8,Matthew Carpenter,Texas,online,13467.768,6,4.25,4,High Value,Satisfied
b16248e7-908b-4046-b833-900d8d6a46a7,Peggy Rodriguez,Texas,online,1986.199,3,,0,High Value,At Risk
5a40c4d9-e099-41d3-8151-72c2a360759c,Timothy Clements,Michigan,both,7950.029,16,,0,High Value,At Risk
697e152e-5384-4f2b-8ad7-549205045de1,Samantha Williams,Florida,both,24004.574,15,3.0,1,High Value,Neutral
945b5966-9603-4b7e-baec-cf0bcbb9a1f7,Richard Pace,Texas,online,11679.882,16,,0,High Value,At Risk
881c84e9-36e8-40b5-b972-73c2a9f5905a,Andrew Jackson,Florida,both,3971.2620000000006,3,3.0,3,High Value,Neutral
426e0c42-3382-4ed7-b527-375f073cd0bd,Cynthia Chapman,Florida,both,14884.301000000001,20,,0,High Value,At Risk
5c59bc96-9475-4106-9ee4-9f6ca52da092,Thomas Williams,Texas,in-store,10946.55568953085,12,,0,High Value,At Risk
19bd454b-b969-4c36-a678-675297cad66d,Melissa Salazar,California,online,5205.4995,6,,0,High Value,At Risk
a1d8eea9-2abe-42c6-94bb-dcf078821d11,Bailey Marshall,Georgia,in-store,3459.0835,4,,0,High Value,At Risk
66f89534-5a4d-4eae-9bcf-90192491701a,Thomas Robles,,online,7423.6675000000005,11,,0,High Value,At Risk
d83bff12-93e6-488a-b48b-dad78edcee96,Cody Wilson,Arizona,online,8410.43,6,,0,High Value,At Risk
ff65f2e9-9c1f-4078-87df-e111c8670e6c,Thomas Oconnor,North Carolina,in-store,1304.41,1,5.0,1,High Value,Satisfied
e81cf0a9-f3bb-4249-9d1b-7d91f9f3fc8d,Alexander Blake,Michigan,both,17058.825550138907,3,2.0,1,High Value,Neutral
33479975-5135-49f6-b3a9-ff0638c6e97b,Brenda Bush,California,in-store,1062.53,6,1.0,1,High Value,At Risk
7203bf33-5cef-47db-8449-3984dcf33463,Emily Roth,California,online,741.8240000000001,3,,0,Medium Value,At Risk
6cb586eb-fd37-49a5-807f-d5a6aa4b9e5f,Karen Singleton,California,both,11675.851,8,1.0,2,High Value,At Risk
b5ae7dc3-dd8a-4790-8054-408525587f3c,James Peterson,New York,online,0.0,0,3.0,1,Low Value,Neutral
beadf4ab-dea2-4cb1-a6a1-f86b3abb3578,Ann Montoya,Florida,in-store,745.539,2,4.0,1,Medium Value,Satisfied
a63a5580-b0be-47e7-be8a-eeb1bf1d7b2d,Stephanie Faulkner,Georgia,both,6090.9569999999985,8,4.0,2,High Value,Satisfied
84209b6c-49a7-4cfb-b5ca-3597523075ba,Yolanda Santiago,Florida,both,1369.71,3,,0,High Value,At Risk
aa5db541-3971-4596-bc24-698f612a4f01,Lindsey Lane,Texas,online,0.0,0,,0,Low Value,At Risk
695fec65-dd43-42dd-865e-f1cbacd04f36,Kaitlyn Harmon,Florida,in-store,3575.5564999999997,9,,0,High Value,At Risk
57e8914d-8861-4a64-9589-d6fb474bbb46,Robert Weber,Texas,in-store,1813.3129999999999,2,5.0,1,High Value,Satisfied
d1b530d3-306c-4e12-ae36-9defe3b2cedb,Christopher Rose,Florida,in-store,5508.79,6,1.0,1,High Value,At Risk
f58aa2a9-77a9-427e-b1dd-e78db3bd1360,James Thornton,North Carolina,both,5787.226,5,,1,High Value,At Risk
79399aa9-63f7-43e3-8435-d0d3de3a86da,Kimberly Chambers,California,online,605.48,1,4.0,1,Medium Value,Satisfied
7efb4b9f-7782-4322-8fd1-55abd9c9f2ce,Melissa King,Washington,both,7552.063999999999,14,,1,High Value,At Risk
93668a7b-f5e8-412f-b081-a86065eb08ab,Lisa Rodriguez,Texas,online,7861.618,11,,0,High Value,At Risk
